type,keyword,sv,kd,cpc,intent,opportunity_score,opportunity_score_cpc
primary,calcolo danno biologico,8100,3,2.30,commercial,87.3,191.53
secondary,calcolo micropermanenti,3600,0,2.78,commercial,60.0,139.78
secondary,calcolo danno biologico macropermanenti,3600,0,1.64,commercial,60.0,118.25
secondary,risarcimento danni,2900,3,2.09,informational,52.24,111.17
secondary,calcolo danno biologico micropermanenti,2900,0,1.67,commercial,53.85,106.74
secondary,calcolo lesioni micropermanenti,1300,0,4.34,commercial,36.06,96.46
secondary,danni biologici,2900,1,1.04,commercial,53.31,91.32
secondary,tabella fratture assicurazione,880,0,3.60,commercial,29.66,74.93
secondary,danno morale,880,0,3.58,informational,29.66,74.81
longtail,danno biologico calcolo tabelle milano,880,6,2.37,commercial,27.88,61.76
secondary,calcolo danno biologico tabelle milano,880,8,2.37,commercial,27.29,60.45
secondary,danno biologico calcolo,1000,0,1.02,commercial,31.62,53.86
longtail,calcolo danno biologico macropermanenti andreani,720,9,1.57,commercial,24.42,47.47
secondary,tabella punti invalidità,1900,0,0.02,informational,43.59,44.45
longtail,calcolo danno biologico permanente,320,0,1.43,commercial,17.89,33.77
longtail,calcolo danno biologico di lieve entità,590,0,0.00,commercial,24.29,24.29
longtail,risarcimento danno biologico calcolo,140,0,1.45,commercial,11.83,22.43
longtail,calcolo risarcimento danno biologico,140,0,1.45,commercial,11.83,22.43
longtail,calcolo danno biologico tabella unica nazionale,110,0,1.74,commercial,10.49,21.06
longtail,calcolo danno biologico studio cataldi,110,4,1.57,commercial,10.07,19.57
longtail,calcolo danno biologico temporaneo,110,0,1.34,commercial,10.49,19.4
longtail,danno biologico temporaneo calcolo,110,0,1.34,commercial,10.49,19.4
longtail,calcolo danno biologico inail,320,0,0.00,commercial,17.89,17.89
longtail,studio andreani calcolo danno biologico,260,5,0.00,commercial,15.32,15.32
longtail,calcolo danno biologico micropermanenti 2025,210,0,0.00,commercial,14.49,14.49
longtail,calcolo danno biologico macropermanenti 2025,210,0,0.00,commercial,14.49,14.49
longtail,calcolo danno biologico tabelle,140,18,0.00,commercial,9.7,9.7
