type,keyword,sv,kd,cpc,intent,opportunity_score,opportunity_score_cpc
primary,calcolo percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcolatore percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcolatrice percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcolo della percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcoli percentuali,110000,0,0.02,informational,331.66,338.23
secondary,calcolare la percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcola la percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcola percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcola una percentuale,110000,0,0.02,transactional,331.66,338.23
secondary,calcolare le percentuali,110000,0,0.02,informational,331.66,338.23
secondary,calcolare percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcolare una percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcolatore di percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcolatore di percentuali,110000,0,0.02,commercial,331.66,338.23
secondary,calcolatrice di percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcolatrice per percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcolatrice per percentuali,110000,0,0.02,informational,331.66,338.23
secondary,calcolatrice percentuali,110000,0,0.02,informational,331.66,338.23
secondary,calcoli con le percentuali,110000,0,0.02,informational,331.66,338.23
secondary,calcoli con percentuali,110000,0,0.02,informational,331.66,338.23
secondary,calcolo con le percentuali,110000,0,0.02,informational,331.66,338.23
secondary,calcolo con percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcolo delle percentuali,110000,0,0.02,informational,331.66,338.23
secondary,calcolo di percentuali,110000,0,0.02,informational,331.66,338.23
secondary,calcolo la percentuale,110000,0,0.02,informational,331.66,338.23
secondary,calcolo percentuali,110000,0,0.02,informational,331.66,338.23
secondary,percentuale calcolare,110000,0,0.02,informational,331.66,338.23
secondary,percentuale calcolatrice,110000,0,0.02,informational,331.66,338.23
