type,keyword,sv,kd,cpc,intent,opportunity_score,opportunity_score_cpc
secondary,ravvedimento operoso,22200,7,2.56,informational,138.57,314.51
secondary,ravvedimento operoso 2025,14800,0,3.40,informational,121.66,301.9
primary,calcolo ravvedimento operoso,8100,0,4.67,informational,90.0,246.17
secondary,calcola ravvedimento operoso,8100,0,4.67,informational,90.0,246.17
secondary,calcolo ravvedimento operoso 2025,8100,0,4.58,informational,90.0,244.73
secondary,ravvedimento operoso 2026,4400,0,9.71,informational,66.33,223.62
secondary,ravvedimento operoso calcolo,1600,0,5.84,informational,40.0,116.91
secondary,calcolo ravvedimento operoso 2026,1000,0,3.58,informational,31.62,79.74
secondary,calcolo ravvedimento operoso tardiva emissione fattura elettronica,1300,0,2.10,transactional,36.06,76.85
longtail,software gratuito per calcolo ravvedimento operoso,720,0,3.16,transactional,26.83,65.08
secondary,calcolo ravvedimento operoso on line,2900,0,0,informational,53.85,53.85
longtail,calcolo ravvedimento operoso ivafe,480,0,2.06,informational,21.91,46.41
longtail,calcolo ravvedimento operoso iva,480,0,2.06,informational,21.91,46.41
longtail,ravvedimento operoso iva calcolo,480,0,2.06,informational,21.91,46.41
longtail,calcolo iva ravvedimento operoso,480,0,2.06,informational,21.91,46.41
secondary,calcolo ravvedimento operoso imu,1900,0,0,informational,43.59,43.59
secondary,calcolo imu ravvedimento operoso,1900,0,0,commercial,43.59,43.59
secondary,calcolo ravvedimento imu,1900,0,0,commercial,43.59,43.59
secondary,imu calcolo ravvedimento,1900,5,0,commercial,41.41,41.41
secondary,calcolo ravvedimento operoso agenzia entrate excel,1600,0,0,informational,40.0,40.0
longtail,ravvedimento operoso 2025 calcolo,880,0,0,informational,29.66,29.66
longtail,ravvedimento operoso significato,260,0,1.20,informational,16.12,28.84
longtail,calcolo f24 ravvedimento operoso,720,0,0,informational,26.83,26.83
longtail,calcolo ravvedimento operoso f24,720,0,0,informational,26.83,26.83
longtail,calcolo online ravvedimento operoso imposta di registro locazioni,720,0,0,informational,26.83,26.83
longtail,calcolo ravvedimento operoso 2025 gratis,590,0,0,informational,24.29,24.29
longtail,calcolo ravvedimento operoso 1040,480,0,0,informational,21.91,21.91
longtail,calcolo ravvedimento operoso imu agenzia entrate,480,5,0,informational,20.81,20.81
longtail,foglio di calcolo ravvedimento operoso 2025,390,0,0,informational,19.75,19.75
longtail,calcolo ravvedimento operoso imu 2025,390,0,0,informational,19.75,19.75
longtail,calcolo ravvedimento operoso agenzia entrate,390,0,0,informational,19.75,19.75
longtail,calcolo ravvedimento operoso agenzia delle entrate,390,0,0,informational,19.75,19.75
longtail,calcolo interessi ravvedimento operoso,390,0,0,informational,19.75,19.75
longtail,calcolo interessi su ravvedimento operoso,390,0,0,informational,19.75,19.75
longtail,calcolo interessi per ravvedimento operoso,390,0,0,informational,19.75,19.75
longtail,agenzia delle entrate calcolo ravvedimento operoso,390,0,0,informational,19.75,19.75
longtail,agenzia delle entrate ravvedimento operoso calcolo,390,1,0,informational,19.55,19.55
longtail,calcolo ravvedimento operoso 2024,390,4,0,informational,18.96,18.96
longtail,ravvedimento operoso inps,210,0,0,informational,14.49,14.49
longtail,ravvedimento sprint,170,0,0,informational,13.04,13.04
longtail,sanzioni ravvedimento operoso 2026,140,0,0,informational,11.83,11.83
longtail,tabella ravvedimento operoso 2026,110,0,0,informational,10.49,10.49
longtail,ravvedimento operoso lungo,90,0,0,informational,9.49,9.49
longtail,ravvedimento operoso intermedio,90,0,0,informational,9.49,9.49
longtail,ravvedimento operoso breve,90,0,0,informational,9.49,9.49
longtail,cause ostative ravvedimento operoso,70,0,0,informational,8.37,8.37
longtail,ravvedimento operoso art 13 dlgs 472/1997,50,0,0,informational,7.07,7.07
longtail,calcolo ravvedimento omesso versamento,50,0,0,informational,7.07,7.07
